Plant_ID,Tray,Area,Treatment,Infection,Phase,day,QY_Lss,FvFm_Lss,FC1_Size,NDVI_avg,PRI_avg,SIPI_avg,VNIR_Size,PlantHeight,NumPoints,HullVolume
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,0,0.4608917666961871,0.5807697227958901,1063.0,0.7491783039567782,0.0987366698988018,0.5961723388184372,116.37041473388672,8.0536008,506.0,40388.82228700366
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,1,0.4746447289278763,0.5993618975048659,1445.0,0.7550790853134322,0.08958754889144616,0.6090349212222689,163.8287353515625,,,
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,2,0.509653839394023,0.5977267352399923,2267.0,0.7728422239618397,0.09359951141785788,0.6326038023689621,247.0433349609375,,,
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,3,0.48546061826906683,0.6073762547240851,4399.0,0.7794490733841062,0.0875732789069697,0.6581462124323001,473.9331359863281,,,
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,4,0.488708858150562,0.6067300415991843,6406.0,0.785964527369359,0.08493900932161938,0.6723767471286147,664.4165649414062,7.298577000000002,138.0,2083.334886308137
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,5,0.49036708708018034,0.5988045486129108,9647.0,0.7950884683442501,0.08409082140543779,0.6951146274373307,967.3696899414062,9.311975,316.0,7137.540727304289
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,6,0.5040974027446963,0.6106507746674675,11156.5,0.8042290986587133,0.07777430147018252,0.7129814091457162,1313.4390258789062,19.666605500000003,611.0,21697.31963197877
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,7,0.48491867620903656,0.6036091940702338,13213.0,0.81285805029882,0.07029575782453003,0.7327232405135794,1879.5262451171875,25.45513,940.0,49341.40357795045
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,8,0.4800083015164551,0.5895143780920629,18596.0,0.8123799607873753,0.06722237769021422,0.7283149635466761,2858.854736328125,31.495329,1286.0,85998.06861245281
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P1,9,0.47986796066298937,0.5903295302929904,27919.0,0.816174137485633,0.0643371214673892,0.7435336073792032,4486.0322265625,39.512976,1785.0,171897.72789078776
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P2,0,0.48631632929708096,0.5896657846726262,20863.0,0.780933777302976,0.056947693950392744,0.6961877661237942,2915.416259765625,72.482394,2897.0,332886.84978232096
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P2,1,0.40622312876328714,0.5156025306529198,14864.0,0.7470598265923466,0.04877167452255531,0.6498707424547604,1871.774658203125,70.468999,2248.0,160194.57122232215
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P2,2,0.39465023988648923,0.5402136349638516,5429.0,0.7199651546904619,0.040399458540015094,0.6071924764804223,765.2725219726562,68.203929,1285.0,73509.97304644168
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P2,3,0.3798676060519724,0.519846309972468,5539.0,0.7184243261584,0.0374440275085918,0.6039043086444413,856.5613403320312,70.468999,1290.0,79750.46754934713
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P2,4,0.3972334617640785,0.5342855095456485,6739.0,0.7225821372595798,0.027873148712346398,0.6160778919306613,973.6685791015625,69.4623,1279.0,89505.00938581197
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P2,5,0.4410861932487088,0.5809360106049674,6583.0,0.7149238946619649,0.033811850206062165,0.6054572945629657,965.2748413085938,65.938853,1346.0,90359.50530799347
PS_Tray_2500_A4,PS_Tray_2500,A4,PGPR_1,Infected,P2,6,,,,0.7214973385420794,0.030814391362820808,0.623351334215311,1053.875,65.032817,1340.0,95127.3383247936
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,0,0.47661170776951256,0.6002351557048694,1254.0,0.75154673252743,0.1135455051167424,0.6224888702587181,126.7722396850586,18.3219391,218.0,18768.72647759621
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,1,0.4793648506717065,0.6115060579978814,1947.0,0.7538055237335215,0.1082463842622439,0.6244532741462443,195.03421020507812,15.603853400000002,108.0,1365.798764587217
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,2,0.5037438228052965,0.5963478354493669,3297.0,0.7624900458195948,0.10551327234318206,0.6389718871657025,323.75677490234375,14.093799,153.0,2390.293794410617
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,3,0.47443602262377876,0.6021505154645844,6039.0,0.771753041478183,0.09577627187709564,0.6610165129987786,599.4051513671875,18.456169,217.0,5332.95860610158
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,4,0.48300451271946776,0.6008439350465161,9056.0,0.7747776513546001,0.09148851919930008,0.6680374488335087,862.0512084960938,25.311315,383.0,12698.90586815492
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,5,0.4938421639042763,0.5992918939868394,14171.0,0.7839899784084048,0.08724891955964106,0.6922365137525482,1346.3861083984375,32.549969000000004,491.0,24085.82595231509
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,6,0.5029186047980295,0.6071427512873198,16474.0,0.7913208256849564,0.08407601677369678,0.7083152652145184,1853.246337890625,40.411815000000004,723.5,44743.22466788429
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,7,0.4867658301283905,0.5955208137542652,17291.0,0.798551087532873,0.08064837390523814,0.72233110791928,2581.302734375,47.81825,1113.0,80868.23039766862
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,8,0.48401909106279656,0.5788342193667125,22549.0,0.8033451555565265,0.07402546482637157,0.7367629759849916,3572.2900390625,53.858449,1652.0,147327.1363579575
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P1,9,0.4829270143992462,0.5711448185948849,29051.0,0.8043249492143376,0.07296149793577024,0.7425019307011557,4577.236328125,60.821457,2117.0,229348.9281006605
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P2,0,0.5076329872609313,0.5938892983656597,44391.0,0.8040482635911018,0.07222990942108348,0.7518075872777316,7983.89013671875,84.562802,2788.0,535440.3249346372
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P2,1,0.5023504690706385,0.5679854596965248,59939.0,0.8055698424577149,0.0699182771545273,0.757662973064612,9399.8544921875,97.6499,3352.0,669278.9550649124
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P2,2,0.46942434269493155,0.48874304250235595,48812.0,0.8016684816703588,0.0678889068147213,0.7589013233184748,9026.9140625,99.6633,3725.0,700617.237560418
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P2,3,0.3284441801007687,0.3846314203011351,36296.0,0.7837176298851506,0.054576887200871324,0.740219440686985,6938.923828125,102.635469,4408.0,706098.7910831562
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P2,4,0.4512212332469484,0.4883436666181071,48909.0,0.7923888866956392,0.05845692988792991,0.7519704232207914,8569.9619140625,109.7303,4318.0,780156.4471653186
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P2,5,0.33408357132251926,0.37698241712341507,34939.0,0.7733817520636672,0.05381863363198407,0.7334667743635135,6028.5380859375,111.7437,5071.0,713067.4526581082
PS_Tray_2500_B2,PS_Tray_2500,B2,PGPR_2,Healthy,P2,6,,,,0.7914107583236674,0.05119941379771663,0.7554184942550576,9925.0771484375,124.83079,5289.0,996381.6797344442
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,0,0.45990264344358156,0.5722910989544349,1670.0,0.7573186179485963,0.0860199149801019,0.6187289813826367,176.83102416992188,13.2548844,302.0,18675.949182691256
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,1,0.47257948710845155,0.5974452001452916,2538.0,0.7513141521716885,0.07479705411809735,0.6287016976358422,269.7973327636719,8.8086247,103.0,1050.233504318399
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,2,0.505479385349479,0.5982405279978603,4031.0,0.7604736949270069,0.08271682968312416,0.6368524740911327,412.8224182128906,8.103936000000001,113.0,1555.8010636232657
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,3,0.47657761409721283,0.6016427336976767,7382.0,0.7748870409520309,0.07172090721277452,0.675226424836837,726.8275146484375,15.452839999999998,193.0,5077.884221917399
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,4,0.4890724384274647,0.604176342995155,10681.0,0.7870569520108737,0.07337873090981878,0.6871864186283032,1046.68359375,25.311315,388.0,16761.89406388922
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,5,0.4936864563885208,0.6005701751084076,16604.0,0.7913527194020594,0.07128453303332588,0.7030705302126495,1627.885498046875,28.259508,587.0,29887.73468957788
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,6,0.505194051377029,0.6074256458591545,18252.5,0.8033425679713002,0.07060109301138526,0.7166985596907904,2120.968994140625,37.2479025,985.5,68057.6163963002
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,7,0.4839710873703722,0.5969849703014628,19961.0,0.8096011500130635,0.06831478632362138,0.7306086174393879,2800.607666015625,48.321599,1644.0,121725.13785565196
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,8,0.48025062869415175,0.5818877359323947,27239.0,0.816032266860306,0.06698401050715863,0.7437896200659841,4184.29296875,54.361798,2213.0,207777.04750756628
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P1,9,0.4770065439739726,0.5763464295292585,39151.0,0.8216536479127824,0.06749401400630269,0.7547053028917071,5998.9921875,64.4288,3096.0,347774.5401738845
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P2,0,0.4638856228696906,0.55204529397009,24791.0,0.7591818043878181,0.04491451052346625,0.6841932262236496,3814.708740234375,89.79764,4671.0,413465.90103410376
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P2,1,0.4080473476759197,0.5053716457070188,19462.0,0.7458536135852804,0.03950486356517137,0.6729501648145758,3006.77734375,96.6432,3214.0,227246.6393312212
PS_Tray_2500_C4,PS_Tray_2500,C4,PGPR_3,Infected,P2,2,0.41088809024158723,0.5192807598769109,10074.0,0.7174974240955777,0.029670121390300144,0.6441552393002788,1638.343505859375,99.99886,2241.0,141686.42570858853
