word,category,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49
notebook,random,-1.11469996,0.904940009,1.1178,0.731509984,-0.224639997,-1.06350005,-1.44889998,-1.30299997,-0.0826570019,-0.157839999,-0.286500007,-0.00217989995,-0.494199991,0.642809987,0.928279996,-0.0651469976,-1.46519995,-0.0502189994,-0.0508509986,-0.293229997,-0.736909986,-0.645389974,-0.199420005,0.272830009,-0.343290001,-0.557219982,-0.476599991,0.121629998,0.552160025,-0.688750029,0.706879973,-0.440189987,-0.050342001,0.0887190029,-0.481810004,0.361809999,-0.254319996,0.406269997,0.375070006,-0.309729993,1.3599,-0.157790005,0.0509399995,0.875280023,0.594709992,1.21630001,1.08029997,0.402570009,-0.917810023,0.00116770004
village,random,0.482840002,0.543640018,-0.318610013,-0.329439998,0.829649985,-0.138469994,-0.452080011,0.00176230003,-0.0838640034,-1.17379999,-0.402420014,-1.66009998,1.05519998,-1.29939997,-0.357980013,0.448229998,1.06809998,1.07130003,-0.0873180032,1.23329997,0.0811609998,0.264180005,-0.248319998,1.28939998,0.147290006,-0.771640003,-0.683910012,0.282819986,0.0946089998,-0.184599996,3.02940011,-0.935360014,0.252090007,0.268159986,0.614069998,0.39091,0.270150006,-0.312449992,0.35563001,0.986339986,-0.377079993,0.0897269994,0.0236339998,-0.647000015,-0.310030013,-0.00173879997,-0.952629983,-1.3046,0.643360019,-0.501070023
flower,random,0.0754389986,1.26590002,-1.31789994,0.113410003,1.45130002,0.173370004,-0.562650025,-1.07060003,0.548979998,0.30162999,-0.114710003,0.384979993,0.92049998,-0.2491,0.330799997,0.0601130016,-0.00688460004,0.086864002,-0.205349997,-0.860979974,0.10007,-0.754859984,0.482250005,-0.332529992,-0.237910002,0.173449993,0.497770011,0.887610018,0.0894709975,-0.562170029,1.85350001,-0.0055493,0.45844999,0.539430022,0.324699998,0.434789985,-0.0272530001,0.447439998,-0.275139987,-0.0161520001,-0.510240018,-0.101130001,-0.809849977,-0.315710008,1.58169997,0.210500002,-0.184400007,-1.72660005,0.0926849991,-0.556959987
doctor,random,0.669990003,0.116980001,-0.46322,-0.90012002,0.565599978,0.489800006,-0.260309994,0.712679982,0.623380005,0.0278500002,0.680119991,0.767449975,-0.0203649998,0.520969987,0.806219995,-0.205369994,-0.882629991,0.257070005,-0.180350006,0.809689999,-0.241479993,1.16170001,0.308340013,0.654950023,0.32863,-2.28489995,-0.692189991,-0.712409973,-0.502420008,-0.0765409991,1.86240005,-0.203229994,-0.647490025,-0.516170025,0.502730012,0.789179981,0.626240015,0.374960005,1.28550005,-0.205809996,0.410299987,0.719959974,-0.162929997,0.291060001,0.471879989,-0.151209995,0.36688,-0.089993,0.37777999,0.598179996
market,random,-0.00931929983,-0.727869987,0.468300015,0.297560006,0.423869997,-0.983969986,-0.809870005,-1.01719999,-0.0125489999,0.727079988,0.348089993,-0.0664070025,-0.603320003,-0.181490004,0.140719995,1.21220005,-0.302289993,-0.168029994,-0.263689995,-0.609489977,1.54260004,-0.587419987,-0.712300003,0.0780420005,-0.267459989,-1.3635,-0.278670013,0.306609988,0.605579972,0.849300027,3.77640009,0.281870008,1.29760003,0.132459998,-0.0828810036,-1.14960003,-1.03789997,0.248160005,0.315730006,-0.527769983,-0.652059972,-0.013762,0.349649996,0.0301610008,0.825820029,0.25492999,0.0883890018,0.380690008,0.842019975,0.381850004
winter,random,-0.280539989,1.24220002,-0.888379991,-0.0961320028,-0.942250013,-0.487569988,-1.07500005,0.157700002,0.199770004,-0.899010003,0.111220002,-0.555710018,0.489589989,-0.124619998,1.5898,0.669770002,0.320300013,0.224169999,-1.59220004,-0.490630001,-0.0256389994,-0.659399986,0.594139993,-0.120070003,0.033679001,-0.575860023,-0.476229995,0.630810022,0.963789999,0.993409991,2.40829992,0.927450001,-0.402119994,-0.0952830017,0.0257569999,0.473459989,-0.0955160037,0.863960028,-0.156629995,-0.252499998,-1.24080002,0.148719996,0.198280007,-0.475580007,0.482309997,0.103160001,0.352389991,-0.62598002,-0.56370002,0.201859996
summer,random,-0.139939994,1.06400001,-0.918439984,-0.42938,-1.06280005,-0.516579986,-1.32130003,0.175060004,-0.228750005,-0.158150002,-0.154259995,-0.651939988,0.275950015,-0.0131740002,1.55929995,0.318340003,-0.0362319984,0.466320008,-1.40320003,-0.189630002,0.607569993,-0.143030003,0.380730003,0.182219997,-0.173789993,-0.912779987,-0.0363669991,0.295630008,0.488590002,0.658119977,2.93050003,0.629930019,-0.457419991,-0.235870004,-0.00260740006,0.317009985,-0.00701220008,0.678439975,-0.140630007,-0.656430006,-0.93197,-0.0845109969,-0.073981002,-0.356050014,0.137889996,-0.0133109996,0.355190009,-0.733410001,-0.589770019,0.331389993
rain,random,-0.202539995,0.218830004,-0.15896,0.517210007,-1.75010002,-0.679660022,-0.285340011,1.17040002,0.816550016,0.127069995,-0.270790011,-0.797609985,0.677890003,-0.521109998,0.527939975,0.303620011,-0.110969998,-0.730889976,-1.27989995,-1.30299997,-0.671519995,0.216409996,1.05700004,-0.828419983,1.16639996,-0.0963699967,0.0374450013,1.09309995,1.18970001,0.313270003,3.03900003,0.346549988,0.244440004,0.268819988,-0.177780002,0.268409997,0.35589999,-0.0887380019,0.39478001,-0.120470002,-0.799539983,0.649269998,0.0550559983,-0.486519992,0.289330006,0.662710011,0.191530004,-1.13629997,-0.114,-0.5977
music,random,-0.924480021,0.598070025,-0.995000005,-0.0452979989,-0.388359994,0.0328169987,-1.14160001,-0.302020013,-0.337529987,2.04979992,0.726140022,0.257589996,0.0622779988,0.605050027,0.194140002,-0.33840999,0.00985850021,0.283980012,-0.0250209998,-0.536230028,1.2342,1.07309997,-0.0876180008,0.991140008,0.496659994,-0.466010004,-1.7859,-0.508840024,-0.677439988,-0.916260004,3.66849995,-0.582180023,0.724910021,-0.47676,-0.352070004,0.0412359983,0.272879988,-0.204999998,-0.123800002,0.10142,0.594489992,0.276380002,-0.927489996,-0.63906002,-0.133259997,0.509019971,0.153860003,-0.865440011,-1.35640001,0.285129994
football,random,-1.82089996,0.700940013,-1.14030004,0.343629986,-0.422659993,-0.924790025,-1.39419997,0.28512001,-0.784160018,-0.525789976,0.896269977,0.358990014,-0.800870001,-0.346359998,1.08539999,-0.0870459974,0.634109974,1.14289999,-1.62639999,0.413260013,-1.12829995,-0.166449994,0.174239993,0.995850027,-0.818379998,-1.77240002,0.0782810003,0.133819997,-0.597790003,-0.450679988,2.5474,1.06930006,-0.270170003,-0.756460011,0.247569993,1.02610004,0.113289997,0.176679999,-0.232570007,-1.15610003,-0.106650002,-0.253769994,-0.65101999,0.323929995,-0.582620025,0.881370008,-0.134650007,0.969030023,-0.0762590021,-0.59908998
computer,random,0.0790840015,-0.815039992,1.79009998,0.916530013,0.107969999,-0.556280017,-0.844269991,-1.49510002,0.134179994,0.636269987,0.35146001,0.258130014,-0.550289989,0.510559976,0.374089986,0.120920002,-1.61660004,0.83653003,0.142020002,-0.523479998,0.734529972,0.12207,-0.490790009,0.325329989,0.453060001,-1.58500004,-0.638480008,-1.00530005,0.104539998,-0.429839998,3.18099999,-0.621869981,0.168190002,-1.01390004,0.0640579984,0.578440011,-0.455599993,0.737829983,0.37202999,-0.577220023,0.664409995,0.0551289991,0.0378910005,1.32749999,0.309909999,0.506969988,1.23570001,0.127399996,-0.11434,0.207090005
